year,month,month_year,lpg_invoice_total,lpg_credit_notes,net_lpg_invoiced,payment_refs_allocated,payment_dates,payment_total_allocated,difference,month_status,review_required,notes
2021,April,2021-04,9765.76,0.0,9765.76,8764,2021-05-11,9765.76,0.0,FULLY_SETTLED,False,Settled in full.
2021,May,2021-05,12222.9,0.0,12222.9,9315,2021-06-03,12222.9,-0.0,FULLY_SETTLED,False,Settled in full.
2021,June,2021-06,11292.11,0.0,11292.11,9996,2021-07-01,11292.11,0.0,FULLY_SETTLED,False,Settled in full.
2021,July,2021-07,9079.94,0.0,9079.94,10226,2021-08-05,9079.94,0.0,FULLY_SETTLED,False,Settled in full.
2021,August,2021-08,15412.53,-2400.02,13012.51,10584,2021-09-02,13012.5,0.01,FULLY_SETTLED,False,Settled in full.
2021,September,2021-09,15259.84,-1999.56,13260.28,11068,2021-10-07,13260.28,0.0,FULLY_SETTLED,False,Settled in full.
2021,October,2021-10,16129.01,-2799.39,13329.62,11558,2021-11-04,12929.71,399.91,PARTIALLY_SETTLED,False,Underpaid. R399.91 remaining unpaid.
2021,November,2021-11,18164.37,-1785.46,16378.91,12719,2022-01-31,16778.82,-399.91,OVERPAID,False,Overpaid by R399.91.
2021,December,2021-12,12399.78,0.0,12399.78,12146,2021-12-20,12160.3,239.48,PARTIALLY_SETTLED,False,Underpaid. R239.48 remaining unpaid.
2022,January,2022-01,14982.58,0.0,14982.58,13245,2022-03-17,14982.58,0.0,FULLY_SETTLED,False,Settled in full.
2022,February,2022-02,13949.0,0.0,13949.0,13583,2022-04-12,13949.0,0.0,FULLY_SETTLED,False,Settled in full.
2022,March,2022-03,14943.48,0.0,14943.48,—,—,0.0,14943.48,UNPAID,False,No payment allocated.
2022,April,2022-04,18184.64,0.0,18184.64,14135,2022-06-01,18184.64,0.0,FULLY_SETTLED,False,Settled in full.
2022,May,2022-05,18947.57,0.0,18947.57,15071,2022-07-26,17275.67,1671.9,PARTIALLY_SETTLED,False,Underpaid. R1671.90 remaining unpaid.
2022,June,2022-06,16103.76,0.0,16103.76,15473,2022-08-11,14488.95,1614.81,PARTIALLY_SETTLED,False,Underpaid. R1614.81 remaining unpaid.
2022,July,2022-07,17169.29,0.0,17169.29,15987,2022-09-10,17169.29,0.0,FULLY_SETTLED,False,Settled in full.
2022,August,2022-08,19171.88,-3834.38,15337.5,16648,2022-10-20,15337.5,0.0,FULLY_SETTLED,False,Settled in full.
2022,September,2022-09,16606.08,0.0,16606.08,17073,2022-11-24,13838.4,2767.68,PARTIALLY_SETTLED,False,Underpaid. R2767.68 remaining unpaid.
2022,October,2022-10,15222.24,0.0,15222.24,17578,2022-12-19,15222.24,0.0,FULLY_SETTLED,False,Settled in full.
2022,November,2022-11,13512.0,-5372.16,8139.84,17777,2023-01-19,10825.92,-2686.08,OVERPAID,False,Overpaid by R2686.08.
2022,December,2022-12,31899.56,-4029.12,27870.44,18185,2023-02-13,25184.36,2686.08,PARTIALLY_SETTLED,False,Underpaid. R2686.08 remaining unpaid.
2023,January,2023-01,11335.68,0.0,11335.68,19176,2023-03-22,11335.68,0.0,FULLY_SETTLED,False,Settled in full.
2023,February,2023-02,12343.07,0.0,12343.07,20357,2023-05-02,12343.07,-0.0,FULLY_SETTLED,False,Settled in full.
2023,March,2023-03,16111.5,0.0,16111.5,21193,2023-05-31,15409.46,702.04,PARTIALLY_SETTLED,False,Underpaid. R702.04 remaining unpaid.
2023,April,2023-04,15140.69,0.0,15140.69,22711,2023-07-21,15140.69,0.0,FULLY_SETTLED,False,Settled in full.
2023,May,2023-05,13806.77,0.0,13806.77,23280,2023-08-11,13806.77,0.0,FULLY_SETTLED,False,Settled in full.
2023,June,2023-06,16964.84,0.0,16964.84,23977,2023-09-05,16964.84,-0.0,FULLY_SETTLED,False,Settled in full.
2023,July,2023-07,13911.54,0.0,13911.54,25394,2023-10-24,13911.54,0.0,FULLY_SETTLED,False,Settled in full.
2023,August,2023-08,15766.57,0.0,15766.57,26601,2023-11-29,12520.81,3245.76,PARTIALLY_SETTLED,False,Underpaid. R3245.76 remaining unpaid.
2023,September,2023-09,11272.74,-3245.76,8026.98,27468,2023-12-29,11272.74,-3245.76,OVERPAID,False,Overpaid by R3245.76.
2023,October,2023-10,13528.54,0.0,13528.54,30269,2024-04-24,13528.54,0.0,FULLY_SETTLED,False,Settled in full.
2023,November,2023-11,11625.12,0.0,11625.12,28893,2024-02-20,11625.12,0.0,FULLY_SETTLED,False,Settled in full.
2023,December,2023-12,21426.31,-2691.85,18734.46,35270,2024-12-04,18441.12,293.34,PARTIALLY_SETTLED,False,Underpaid. R293.34 remaining unpaid.
2024,January,2024-01,13806.77,-2701.46,11105.31,30891,2024-05-27,11105.31,0.0,FULLY_SETTLED,False,Settled in full.
2024,February,2024-02,13862.53,0.0,13862.53,32896,2024-08-23,13862.53,0.0,FULLY_SETTLED,False,Settled in full.
2024,March,2024-03,15395.18,0.0,15395.18,31792,2024-07-09,15395.18,0.0,FULLY_SETTLED,False,Settled in full.
2024,April,2024-04,12634.86,0.0,12634.86,33810,2024-09-30,12634.86,0.0,FULLY_SETTLED,False,Settled in full.
2024,May,2024-05,18256.94,0.0,18256.94,31179,2024-06-10,13862.03,4394.91,PARTIALLY_SETTLED,False,Underpaid. R4394.91 remaining unpaid.
2024,June,2024-06,15232.18,0.0,15232.18,34425,2024-10-28,15232.18,0.0,FULLY_SETTLED,False,Settled in full.
2024,July,2024-07,15443.0,0.0,15443.0,36139,2025-01-17,15443.0,0.0,FULLY_SETTLED,False,Settled in full.
2024,August,2024-08,15184.18,0.0,15184.18,36988,2025-02-21,15184.18,-0.0,FULLY_SETTLED,False,Settled in full.
2024,September,2024-09,15336.89,0.0,15336.89,—,—,0.0,15336.89,UNPAID,False,No payment allocated.
2024,October,2024-10,16419.92,-2394.34,14025.58,—,—,0.0,14025.58,UNPAID,False,No payment allocated.
2024,November,2024-11,12524.85,0.0,12524.85,—,—,0.0,12524.85,UNPAID,False,No payment allocated.
2024,December,2024-12,15816.63,0.0,15816.63,38481,2025-05-05,15816.63,0.0,FULLY_SETTLED,False,Settled in full.
2025,January,2025-01,17574.84,0.0,17574.84,—,—,0.0,17574.84,UNPAID,False,No payment allocated.
2025,February,2025-02,10320.82,0.0,10320.82,—,—,0.0,10320.82,UNPAID,False,No payment allocated.
2025,March,2025-03,11795.24,0.0,11795.24,40063,2025-07-14,11795.24,0.0,FULLY_SETTLED,False,Settled in full.
2025,April,2025-04,21724.53,0.0,21724.53,—,—,0.0,21724.53,UNPAID,False,No payment allocated.
2025,May,2025-05,17667.7,-4325.33,13342.37,—,—,0.0,13342.37,UNPAID,False,No payment allocated.
2025,June,2025-06,17733.16,-3115.05,14618.11,40746,2025-08-22,14579.44,38.67,PARTIALLY_SETTLED,False,Underpaid. R38.67 remaining unpaid.
2025,July,2025-07,14579.44,0.0,14579.44,—,—,0.0,14579.44,UNPAID,False,No payment allocated.
2025,August,2025-08,16601.82,0.0,16601.82,41664,2025-10-14,16601.81,0.01,FULLY_SETTLED,False,Settled in full.
2025,September,2025-09,13327.87,0.0,13327.87,42134,2025-11-06,13327.87,0.0,FULLY_SETTLED,True,[REVIEW_REQUIRED] Inferred from ERP ledger allocations.
2025,October,2025-10,13161.86,0.0,13161.86,42788,2025-12-29,13161.86,0.0,FULLY_SETTLED,True,[REVIEW_REQUIRED] Inferred from ERP ledger allocations.
2025,November,2025-11,15578.23,0.0,15578.23,43199,2026-02-05,15578.23,0.0,FULLY_SETTLED,True,[REVIEW_REQUIRED] Inferred from ERP ledger allocations.
2025,December,2025-12,15560.88,-3894.77,11666.11,—,—,0.0,11666.11,UNPAID,True,[REVIEW_REQUIRED] Inferred from ERP ledger allocations.
2026,January,2026-01,16919.61,-2596.52,14323.09,—,—,0.0,14323.09,UNPAID,False,No payment allocated.
2026,February,2026-02,10559.95,0.0,10559.95,—,—,0.0,10559.95,UNPAID,False,No payment allocated.
2026,March,2026-03,15897.54,-3959.98,11937.56,44555,2026-06-05,11666.12,271.44,PARTIALLY_SETTLED,False,Underpaid. R271.44 remaining unpaid.
2026,April,2026-04,14303.99,0.0,14303.99,—,—,0.0,14303.99,UNPAID,False,No payment allocated.
2026,May,2026-05,21274.86,0.0,21274.86,—,—,0.0,21274.86,UNPAID,False,No payment allocated.
